type,title,date_added,release_year,rating,listed_in
Movie,**Pokémon: Mewtwo Strikes Back - Evolution**,2/27/2020,2019,",?TV-Y7","Anime Features, Children & Family Movies"
TV Show,**Six Windows in the Desert**,2/27/2020,2020S,",?TV-14",TV Shows
Movie,**Couple of Days**,2/26/2020,2016,",?TV-14","Dramas, International Movies, Romantic Movies"
Movie,**Gbomo Gbomo Express**,2/26/2020,2015),",?TV-MA","Dramas, International Movies"
Movie,**Taxi Driver**,2/26/2020,2015s,",?TV-MA","Comedies, Dramas, Independent Movies"
Movie,**The Arbitration**,2/26/2020,2016C,",?TV-MA","Dramas, International Movies"
Movie,**When Love Happens**,2/26/2020,2014),",?TV-14","International Movies, Romantic Movies"
Movie,**Pete Davidson: Alive From New York**,2/25/2020,2020),",?TV-MA",Stand-Up Comedy
Movie,**Full Count**,2/23/2020,2019),",?TV-PG","Children & Family Movies, Dramas, Faith & Spirituality"
Movie,**Girl on the Third Floor**,2/22/2020,2019),",?TV-MA",Horror Movies
TV Show,**Unabomber - In His Own Words**,2/22/2020,2018C,",?TV-MA","Crime TV Shows, Docuseries"
Movie,**System Crasher**,2/21/2020,2020,",?TV-MA","Dramas, Independent Movies, International Movies"
Movie,**The Body**,2/21/2020,2019S,",?TV-14","International Movies, Thrillers"
Movie,**The Last Thing He Wanted**,2/21/2020,2020,",?R","Dramas, Thrillers"
Movie,**Yeh Ballet**,2/21/2020,2020S,",?TV-MA","Dramas, International Movies"
Movie,**Pretville**,2/20/2020,2012,",?TV-PG","Comedies, International Movies, Music & Musicals"
Movie,**Untamed Romania**,2/20/2020,2018s,",?TV-PG","Children & Family Movies, Documentaries, International Movies"
Movie,**By the Sea**,2/16/2020,2015c,",?R","Dramas, Romantic Movies"
Movie,**Miss Virginia**,2/16/2020,2019c,",?TV-MA","Dramas, Independent Movies"
Movie,**MR. RIGHT**,2/16/2020,2015,",?R","Action & Adventure, Comedies, Romantic Movies"
TV Show,**On the Real**,2/16/2020,2017S,",?TV-MA","International TV Shows, TV Dramas"
Movie,**Term Life**,2/16/2020,2016S,",?R","Dramas, Thrillers"
Movie,**The Forest**,2/16/2020,2016S,",?PG-13","Horror Movies, Independent Movies"
Movie,**Monster High: Electrified**,2/15/2020,2017),",?TV-Y",Movies
Movie,**A Shaun the Sheep Movie: Farmageddon**,2/14/2020,2019(,",?G","Children & Family Movies, Comedies"
Movie,**Cuddle Weather**,2/14/2020,2019),",?TV-MA","Dramas, International Movies, Romantic Movies"
Movie,**Fanatyk**,2/14/2020,2017,",?TV-MA","Comedies, Dramas, Independent Movies"
Movie,**Isi & Ossi**,2/14/2020,2020S,",?TV-MA","Comedies, International Movies, Romantic Movies"
Movie,**Liefling**,2/14/2020,2010S,",?TV-PG","Comedies, International Movies, Music & Musicals"
Movie,**Panipat - The Great Betrayal**,2/14/2020,2019S,",?TV-14","Dramas, International Movies, Romantic Movies"
Movie,**The Ghost and the Tout**,2/14/2020,2018C,",?TV-14","Comedies, International Movies"
Movie,**Dragon Quest Your Story**,2/13/2020,2019,",?TV-PG","Action & Adventure, Anime Features, Children & Family Movies"
TV Show,**Sleepless Society: Insomnia**,2/13/2020,2019,",?TV-MA","Crime TV Shows, International TV Shows, TV Dramas"
Movie,**French Toast**,02/12/2020,2015s,",?TV-PG","Comedies, International Movies, Romantic Movies"
Movie,**To All the Boys: P.S. I Still Love You**,02/12/2020,2020s,",?TV-14","Comedies, Romantic Movies"
Movie,**Good Time**,02/11/2020,2017),",?R","Dramas, Independent Movies, Thrillers"
Movie,**ROAD TO ROMA**,02/11/2020,2020S,",?TV-PG","Documentaries, International Movies"
Movie,**Love for Sale 2**,02/10/2020,2019),",?TV-14","Dramas, International Movies, Romantic Movies"
Movie,**Fronteras**,02/09/2020,2018),",?TV-MA","Dramas, Independent Movies, Thrillers"
Movie,**Polaroid**,02/09/2020,2019),",?PG-13",Horror Movies
Movie,**The Coldest Game**,02/08/2020,2019s,",?TV-MA","Dramas, International Movies, Thrillers"
Movie,**Thottappan**,02/08/2020,2019,",?TV-14","Comedies, Dramas, International Movies"
Movie,**Azali**,02/07/2020,2018S,",?TV-14","Dramas, International Movies"
Movie,**Horse Girl**,02/07/2020,2020,",?R","Dramas, Independent Movies"
Movie,**Jada**,02/07/2020,2019C,",?TV-14","Dramas, International Movies, Sports Movies"
Movie,**Gardeners of Eden**,02/06/2020,2014s,",?TV-14",Documentaries
TV Show,**Arrow**,02/05/2020,2019(,",?TV-14","Crime TV Shows, TV Action & Adventure"
