id,date,month,day,year,country_name,landslide_type,trigger
656,7/21/08,,,,Guatemala,Mudslide,Tropical cyclone
658,7/22/08,,,,United States,Mudslide,Downpour
659,7/22/08,,,,United States,Mudslide,Downpour
660,7/22/08,,,,United States,Mudslide,Downpour
675,7/28/08,,,,United States,Mudslide,Downpour
686,08/04/2008,,,,United States,Mudslide,Rain
690,08/06/2008,,,,United States,Mudslide,Rain
691,08/06/2008,,,,United States,Mudslide,Rain
693,08/07/2008,,,,United States,Complex,Downpour
694,08/07/2008,,,,United States,Mudslide,Rain
695,08/07/2008,,,,United States,Mudslide,Downpour
698,08/08/2008,,,,United States,Landslide,Rain
724,8/17/08,,,,Dominican Republic,Complex,Tropical cyclone
728,8/18/08,,,,Colombia,Landslide,Rain
729,8/18/08,,,,Colombia,Landslide,Rain
742,8/23/08,,,,United States,Mudslide,Rain
743,8/24/08,,,,United States,Mudslide,Rain
744,8/25/08,,,,Mexico,Mudslide,Downpour
746,8/26/08,,,,Dominican Republic,Mudslide,Tropical cyclone
747,8/26/08,,,,Haiti,Landslide,Tropical cyclone
748,8/26/08,,,,Haiti,Mudslide,Tropical cyclone
750,8/26/08,,,,Panama,Landslide,Downpour
751,8/26/08,,,,United States,Mudslide,Rain
756,8/28/08,,,,Jamaica,Landslide,Tropical cyclone
757,8/28/08,,,,United States,Mudslide,Tropical cyclone
771,09/03/2008,,,,Haiti,Mudslide,Tropical cyclone
774,09/04/2008,,,,Jamaica,Complex,Tropical cyclone
776,09/06/2008,,,,Costa Rica,Mudslide,Downpour
779,09/06/2008,,,,United States,Mudslide,Tropical cyclone
780,09/07/2008,,,,Trinidad and Tobago,Landslide,Downpour
800,9/20/08,,,,United States,Mudslide,Downpour
826,10/03/2008,,,,Nicaragua,Landslide,Downpour
837,10/12/2008,,,,Colombia,Landslide,Downpour
838,10/12/2008,,,,Costa Rica,Landslide,Downpour
839,10/12/2008,,,,Costa Rica,Landslide,Downpour
841,10/12/2008,,,,Saint Lucia,Landslide,Downpour
845,10/15/08,,,,Costa Rica,Landslide,Downpour
848,10/16/08,,,,Costa Rica,Complex,Downpour
852,10/18/08,,,,Guatemala,Landslide,Tropical cyclone
854,10/19/08,,,,Honduras,Landslide,Tropical cyclone
855,10/20/08,,,,Honduras,Mudslide,Tropical cyclone
857,10/22/08,,,,Barbados,Mudslide,Downpour
867,10/28/08,,,,Guatemala,Mudslide,Downpour
889,11/16/08,,,,Colombia,Mudslide,Downpour
891,11/16/08,,,,Trinidad and Tobago,Complex,Downpour
896,11/20/08,,,,Venezuela,Mudslide,Downpour
904,11/24/08,,,,Colombia,Mudslide,Downpour
905,11/25/08,,,,Panama,Complex,Downpour
908,11/26/08,,,,United States,Debris flow,Rain
928,12/14/08,,,Night,Guatemala,Mudslide,Rain
937,12/17/08,,,,United States,Mudslide,Rain
938,12/18/08,,,,Trinidad and Tobago,Mudslide,Downpour
939,12/19/08,,,,Trinidad and Tobago,Complex,Downpour
941,12/20/08,,,,Trinidad and Tobago,Mudslide,Downpour
946,12/22/08,,,,United States,Complex,Downpour
947,12/22/08,,,Early morning,United States,Lahar,Dam embankment collapse
958,01/07/2009,,,1:41:00,United States,Landslide,Rain
975,1/22/09,,,,Mexico,Landslide,Downpour
984,02/12/2009,,,,Dominican Republic,Mudslide,Downpour
995,03/10/2009,,,Afternoon,United States,Mudslide,Rain
996,3/19/09,,,,Colombia,Mudslide,Continuous rain
1000,04/08/2009,,,Early morning,United States,Rockfall,Rain
1001,04/11/2009,,,11:30:00,United States,Rockfall,Downpour
1003,4/13/09,,,Early morning,United States,Mudslide,Downpour
1004,4/14/09,,,,Peru,Mudslide,Downpour
1005,4/14/09,,,,Peru,Mudslide,Downpour
1006,4/14/09,,,Night,United States,Rockfall,Rain
1007,4/15/09,,,Morning,United States,Rockfall,Rain
1008,4/15/09,,,Morning,United States,Rockfall,Rain
1010,4/20/09,,,Morning,United States,Mudslide,Downpour
1011,4/20/09,,,23:25:00,United States,Mudslide,Rain
1014,4/24/09,,,,Colombia,Mudslide,Downpour
1017,05/04/2009,,,,United States,Landslide,Continuous rain
1019,05/06/2009,,,,Brazil,Mudslide,Rain
1020,05/06/2009,,,,Brazil,Mudslide,Rain
1022,05/08/2009,,,,United States,Landslide,Downpour
1023,05/08/2009,,,,United States,Landslide,Downpour
1024,05/11/2009,,,,United States,Landslide,Downpour
1026,5/17/09,,,,United States,Mudslide,Downpour
1033,5/30/09,,,,United States,Mudslide,Unknown
1038,6/18/09,,,Night,United States,Landslide,Downpour
